tech,cell_type,cell_name,from_pin,to_pin,pol,voltage,temp,delay,wp_sum,wn_sum,slew,cap,log_slew,log_cap,req_p,req_n,rc_p,rc_n,req_eff,rc_eff,wp_over_wn,pn_balance,is_inv,stack_pd,inv_v,inv_temp,is_labeled
ASAP7,NOR3X2,NOR3x2_ASAP7_6t_L,A,Y,rise,0.7,25.0,41.9956,-0.012333734626920325,-0.48945498845297275,1.6989700043447047,-1.9385474832136347,1.6989700043447047,-1.9385474832136347,0.012333735495859591,0.4894549899340993,-1.926213749195486,-1.4490925189048869,0.012333735495859591,-1.926213749195486,3.0000000000000004,0.5,0,1,1.4285714285714286,0.04,0
ASAP7,BUFX8,BUFx8_ASAP7_6t_L,A,Y,fall,0.7,25.0,236.176,-0.26760623937278244,-0.26760623937278244,2.301029995666153,-0.4333975414148016,2.301029995666153,-0.4333975414148016,0.26760624041155046,0.26760624041155046,-0.16579130177969584,-0.16579130177969584,0.26760624041155046,-0.16579130177969584,1.0,0.0,0,1,1.4285714285714286,0.04,0
ASAP7,OR3X4,OR3x4_ASAP7_6t_L,B,Y,fall,0.7,25.0,245.157,-0.4225081990138475,-0.4225081990138475,1.6989700043447047,-0.7344275359006837,1.6989700043447047,-0.7344275359006837,0.4225082003269381,0.4225082003269381,-0.31191933720346426,-0.31191933720346426,0.4225082003269381,-0.31191933720346426,1.0,0.0,0,1,1.4285714285714286,0.04,0
ASAP7,NAND3X1,NAND3x1_ASAP7_6t_L,A,Y,rise,0.7,25.0,43.7759,-0.7904849827765389,-0.31336372984409655,2.301029995666153,-2.8416372063114648,2.301029995666153,-2.8416372063114648,0.7904849855277247,0.31336373094877373,-2.051152473589255,-2.5282736305926807,0.7904849855277247,-2.051152473589255,0.3333333333333333,-0.4999999999999999,0,1,1.4285714285714286,0.04,0
ASAP7,OR2X4,OR2x4_ASAP7_6t_L,A,Y,rise,0.7,25.0,31.3079,-0.48945498845297275,-0.48945498845297275,1.0969100130428,-1.9385474832136347,1.0969100130428,-1.9385474832136347,0.4894549899340993,0.4894549899340993,-1.4490925189048869,-1.4490925189048869,0.4894549899340993,-1.4490925189048869,1.0,0.0,0,1,1.4285714285714286,0.04,0
ASAP7,NOR2X2,NOR2x2_ASAP7_6t_L,A,Y,rise,0.7,25.0,30.8348,-0.3645162521797766,-0.6655462468384465,2.0000000000043427,-2.239577441178447,2.0000000000043427,-2.239577441178447,0.3645162533727032,0.6655462489428767,-1.875061230819615,-1.574031251441676,0.3645162533727032,-1.875061230819615,1.9999999999999998,0.3333333333333333,0,1,1.4285714285714286,0.04,0
ASAP7,AND4X1,AND4x1_ASAP7_6t_L,B,Y,fall,0.7,25.0,14.2104,-0.5686362342325145,-0.5686362342325145,0.7958800174135623,-3.14266690038237,0.7958800174135623,-3.14266690038237,0.5686362359582722,0.5686362359582722,-2.5740311048673186,-2.5740311048673186,0.5686362359582722,-2.5740311048673186,1.0,0.0,0,1,1.4285714285714286,0.04,0
ASAP7,AND3X1,AND3x1_ASAP7_6t_L,A,Y,fall,0.7,25.0,52.374,-0.6655462468384465,-0.6655462468384465,2.301029995666153,-2.239577441178447,2.301029995666153,-2.239577441178447,0.6655462489428767,0.6655462489428767,-1.574031251441676,-1.574031251441676,0.6655462489428767,-1.574031251441676,1.0,0.0,0,1,1.4285714285714286,0.04,0
ASAP7,AND3X2,AND3x2_ASAP7_6t_L,C,Y,rise,0.7,25.0,39.904,-0.5686362342325145,-0.5686362342325145,1.3979400086894094,-2.239577441178447,1.3979400086894094,-2.239577441178447,0.5686362359582722,0.5686362359582722,-1.670941260378222,-1.670941260378222,0.5686362359582722,-1.670941260378222,1.0,0.0,0,1,1.4285714285714286,0.04,0
ASAP7,NOR3X1,NOR3x1_ASAP7_6t_L,B,Y,rise,0.7,25.0,227.286,-0.31336372984409655,-0.7904849827765389,1.6989700043447047,-1.336487520160051,1.6989700043447047,-1.336487520160051,0.31336373094877373,0.7904849855277247,-1.0231237942666882,-0.5460025426006588,0.31336373094877373,-1.0231237942666882,3.0,0.4999999999999999,0,1,1.4285714285714286,0.04,0
